Mağaza,Ürün Grubu,Gerçek Satış Ortalaması,Tahmin Ortalaması,Ortalama Hata (%),Yorum
38,SEAFOOD,19.798307924504083,18.618529420553877,inf,Tahmin fazla (overpredict)
39,CLEANING,1295.556009334889,1296.6341897418283,inf,Tahmin fazla (overpredict)
39,DAIRY,515.7042007001166,518.6616437605595,inf,Tahmin fazla (overpredict)
39,DELI,185.15517822170364,184.75281636185127,inf,Tahmin fazla (overpredict)
39,EGGS,384.90315052508754,403.2683256986396,inf,Tahmin fazla (overpredict)
39,FROZEN FOODS,92.79333724154026,92.3534349459888,inf,Tahmin fazla (overpredict)
39,GROCERY II,28.7024504084014,27.18968150457988,inf,Tahmin fazla (overpredict)
39,"LIQUOR,WINE,BEER",64.33547257876313,61.27711641422093,inf,Tahmin fazla (overpredict)
39,MEATS,238.46032563827305,221.3481506770616,inf,Tahmin fazla (overpredict)
39,PERSONAL CARE,308.73103850641775,309.9181831553023,inf,Tahmin fazla (overpredict)
39,PREPARED FOODS,76.17071007584597,74.21963805750543,inf,Tahmin fazla (overpredict)
40,BREAD/BAKERY,363.693698949825,361.9421722725944,inf,Tahmin fazla (overpredict)
40,DELI,249.3338366394399,248.51260384464896,inf,Tahmin fazla (overpredict)
40,EGGS,141.67736289381563,141.46867863571077,inf,Tahmin fazla (overpredict)
40,PERSONAL CARE,285.0280046674446,284.50978622607204,inf,Tahmin fazla (overpredict)
40,POULTRY,151.07957459801634,148.97390720819993,inf,Tahmin fazla (overpredict)
40,PREPARED FOODS,49.29463243873979,47.43729996855392,inf,Tahmin fazla (overpredict)
41,DAIRY,557.1884480746791,560.9432703732424,inf,Tahmin fazla (overpredict)
41,DELI,195.48269641073512,197.99800487964055,inf,Tahmin fazla (overpredict)
41,EGGS,117.6026837806301,117.85683806695546,inf,Tahmin fazla (overpredict)
41,GROCERY II,22.764294049008168,21.354294460353525,inf,Tahmin fazla (overpredict)
41,"LIQUOR,WINE,BEER",71.28471411901984,68.46132532743677,inf,Tahmin fazla (overpredict)
41,MEATS,172.1850059294049,175.639419255569,inf,Tahmin fazla (overpredict)
41,PERSONAL CARE,261.0752625437573,262.7499325138519,inf,Tahmin fazla (overpredict)
41,POULTRY,158.93567481446908,160.65076637009653,inf,Tahmin fazla (overpredict)
41,PREPARED FOODS,59.55030163593933,57.63730217263982,inf,Tahmin fazla (overpredict)
43,BREAD/BAKERY,304.28121353558925,305.7905246140289,inf,Tahmin fazla (overpredict)
43,DAIRY,354.6336056009335,356.22973610444274,inf,Tahmin fazla (overpredict)
43,DELI,234.06291074679115,234.68349873057755,inf,Tahmin fazla (overpredict)
43,GROCERY I,3305.488929988331,3300.1941839962687,inf,Tahmin fazla (overpredict)
43,MEATS,148.27182666102684,146.62786294230494,inf,Tahmin fazla (overpredict)
43,PERSONAL CARE,221.1382730455076,220.98859028228745,inf,Tahmin fazla (overpredict)
43,POULTRY,169.7749016890315,168.3180750251245,inf,Tahmin fazla (overpredict)
43,PREPARED FOODS,60.0298646487748,57.78926307462141,inf,Tahmin fazla (overpredict)
44,AUTOMOTIVE,18.914235705950997,19.255504741650302,inf,Tahmin fazla (overpredict)
44,BREAD/BAKERY,1388.0487592590432,1391.9018436832882,inf,Tahmin fazla (overpredict)
44,DELI,597.3428185530922,607.8205725229881,inf,Tahmin fazla (overpredict)
44,GROCERY II,81.64585764294048,81.83334543439273,inf,Tahmin fazla (overpredict)
45,CLEANING,2508.700700116686,2503.1352903992115,inf,Tahmin fazla (overpredict)
45,GROCERY I,9758.379965577597,9663.636844671666,inf,Tahmin fazla (overpredict)
45,GROCERY II,83.08984830805134,82.90252833711695,inf,Tahmin fazla (overpredict)
45,PREPARED FOODS,326.092035705951,324.0534587398231,inf,Tahmin fazla (overpredict)
45,SEAFOOD,97.31764727012836,98.35674687534288,inf,Tahmin fazla (overpredict)
46,CLEANING,2304.468494749125,2310.055263862793,inf,Tahmin fazla (overpredict)
46,EGGS,179.5157526254376,188.66513700209856,inf,Tahmin fazla (overpredict)
46,GROCERY II,42.25845974329055,43.29503039965697,inf,Tahmin fazla (overpredict)
46,POULTRY,1009.1787601458576,1014.568585217986,inf,Tahmin fazla (overpredict)
46,PREPARED FOODS,173.8036499982497,176.61726772885552,inf,Tahmin fazla (overpredict)
46,SEAFOOD,50.55287110746791,53.02096108362922,inf,Tahmin fazla (overpredict)
47,AUTOMOTIVE,16.03267211201867,16.1765800333573,inf,Tahmin fazla (overpredict)
47,CLEANING,2329.2438739789964,2324.968154874725,inf,Tahmin fazla (overpredict)
47,EGGS,356.8249708284714,363.9417494087868,inf,Tahmin fazla (overpredict)
47,GROCERY II,64.43990665110852,64.95379766065619,inf,Tahmin fazla (overpredict)
47,"LIQUOR,WINE,BEER",167.91015169194867,161.98896517007262,inf,Tahmin fazla (overpredict)
47,PERSONAL CARE,704.0851808634773,705.6662526031821,inf,Tahmin fazla (overpredict)
47,PREPARED FOODS,288.958806957993,288.66742976010164,inf,Tahmin fazla (overpredict)
47,SEAFOOD,85.77691572053675,87.3549749954968,inf,Tahmin fazla (overpredict)
48,CLEANING,2146.710618436406,2163.691775225552,inf,Tahmin fazla (overpredict)
48,DAIRY,1203.4789964994166,1220.1951668935374,inf,Tahmin fazla (overpredict)
48,EGGS,142.62252042007,151.01108869259633,inf,Tahmin fazla (overpredict)
48,GROCERY II,42.92882147024504,44.43450066599545,inf,Tahmin fazla (overpredict)
48,"LIQUOR,WINE,BEER",105.08459743290548,102.85712075767782,inf,Tahmin fazla (overpredict)
48,PERSONAL CARE,708.2963827304551,709.8586360335618,inf,Tahmin fazla (overpredict)
48,PREPARED FOODS,131.72649646791132,134.64986991481612,inf,Tahmin fazla (overpredict)
48,SEAFOOD,30.00223180950992,32.10301087575661,inf,Tahmin fazla (overpredict)
49,DELI,367.9427836114352,372.1946185766797,inf,Tahmin fazla (overpredict)
49,EGGS,430.8943990665111,432.3788476703001,inf,Tahmin fazla (overpredict)
49,GROCERY II,64.38214702450408,64.72160915289088,inf,Tahmin fazla (overpredict)
49,"LIQUOR,WINE,BEER",218.77304550758456,211.36214371620335,inf,Tahmin fazla (overpredict)
49,MEATS,728.4896837281213,737.5414993024758,inf,Tahmin fazla (overpredict)
49,PERSONAL CARE,394.1353558926488,397.3231967824731,inf,Tahmin fazla (overpredict)
49,PREPARED FOODS,297.299884504084,295.9924058783603,inf,Tahmin fazla (overpredict)
49,SEAFOOD,85.7436951411902,87.27124018796565,inf,Tahmin fazla (overpredict)
50,BREAD/BAKERY,578.9084766569429,576.5782022007846,inf,Tahmin fazla (overpredict)
50,EGGS,114.87281213535589,119.48073358813656,inf,Tahmin fazla (overpredict)
50,GROCERY II,46.724620770128354,47.25491338404638,inf,Tahmin fazla (overpredict)
50,"LIQUOR,WINE,BEER",114.0046674445741,111.59343530290124,inf,Tahmin fazla (overpredict)
50,POULTRY,438.23112494749125,440.5976961441198,inf,Tahmin fazla (overpredict)
50,PREPARED FOODS,122.90388973103852,124.20379450472628,inf,Tahmin fazla (overpredict)
50,SEAFOOD,23.68679376563594,24.03795637482544,inf,Tahmin fazla (overpredict)
51,DELI,259.2387079929988,261.0266118372087,inf,Tahmin fazla (overpredict)
51,EGGS,335.74445740956827,336.71389948342346,inf,Tahmin fazla (overpredict)
51,GROCERY II,31.876896149358227,31.51471491610974,inf,Tahmin fazla (overpredict)
51,PERSONAL CARE,288.0688448074679,287.86489278508554,inf,Tahmin fazla (overpredict)
51,PREPARED FOODS,169.47131602800468,168.00529896257245,inf,Tahmin fazla (overpredict)
51,SEAFOOD,65.85166622170362,65.8813306970385,inf,Tahmin fazla (overpredict)
54,BREAD/BAKERY,218.68494749124852,224.5663930677906,inf,Tahmin fazla (overpredict)
54,CLEANING,1041.1680280046671,1048.332163657229,inf,Tahmin fazla (overpredict)
54,DAIRY,180.5338389731622,184.3257138351929,inf,Tahmin fazla (overpredict)
54,DELI,184.1898710618437,187.33680104387005,inf,Tahmin fazla (overpredict)
54,FROZEN FOODS,34.29723452345391,35.05968402767336,inf,Tahmin fazla (overpredict)
54,"LIQUOR,WINE,BEER",24.080513418903152,23.37800630399637,inf,Tahmin fazla (overpredict)
54,MEATS,52.10545703733956,52.89449773762694,inf,Tahmin fazla (overpredict)
54,PERSONAL CARE,182.4177362893816,188.5170358163585,inf,Tahmin fazla (overpredict)
54,POULTRY,52.90206662176196,53.87740951769294,inf,Tahmin fazla (overpredict)
54,PREPARED FOODS,61.24154025670945,60.89863994951242,inf,Tahmin fazla (overpredict)
1,AUTOMOTIVE,3.251458576429405,3.865991107478604,,Başarılı tahmin
1,BABY CARE,0.0,0.8855535479335871,,Başarılı tahmin
1,BEAUTY,2.4171528588098017,3.0324010628215947,,Başarılı tahmin
1,BEVERAGES,1588.512252042007,1575.4872412845943,,Başarılı tahmin
1,BOOKS,0.1242707117852975,0.9400081217865328,,Başarılı tahmin
1,BREAD/BAKERY,338.12552675787634,329.7152183152585,,Başarılı tahmin
1,CELEBRATION,9.996499416569428,10.014233681533218,,Başarılı tahmin
1,CLEANING,639.9976662777129,638.7155035631273,,Başarılı tahmin
1,DAIRY,626.0764294049009,623.105563198621,,Başarılı tahmin
1,DELI,122.81798604784132,127.43421867251156,,Başarılı tahmin
1,EGGS,140.2625437572929,143.62174373399367,,Başarılı tahmin
1,FROZEN FOODS,130.7550991715286,129.8914231657199,,Başarılı tahmin
